number_of_site_data
14
1
16
50
13
2
1
3
1
1
1
1
11
1
8
8
1
1
14
7
1
2
6
121
6
4
2
8
4
45
2
7
1
67
3
4
1
13
18
14
3
2
13
1
3
1
1
16
21
2
14
3
1
2
60
4
6
5
1
6
14
16
4
106
14
15
24
9
2
2
3
1
10
1
292
1
3
1
21
1
9
17
1
6
29
1
60
2
1
1
1
2
44
8
3
14
4
1
1
15
15
35
16
9
2
12
1
1
2
17
10
4
1
4
3
8
17
14
16
3
1
2
7
2
3
1
143
3
6
6
14
2
13
5
6
1
1
1
6
10
1
1
4
1
1
2
14
32
19
142
19
1
8
44
143
1
18
81
1
2
18
14
1
42
13
27
2
1
10
2
7
3
1
7
2
153
12
2
1
1
4
2
2
1
1
6
1
10
2
1
1
124
2
3
1
295
13
4
13
14
8
39
10
42
4
1
30
1
4
1
43
1
26
9
1
16
5
8
13
4
15
17
1
6
1
15
30
12
1
1
4
8
2
1
1
280
1
1
4
1
24
1
1
55
3
1
3
1
93
46
1
3
2
23
2
21
2
1
21
2104
8
21
1
2
59
1
13
37
39
15
18
1
1
1
189
1
16
1
9
4
5
1
3
16
9
8
1
9
59
1
2
511
7
55
166
1
6
3
2
11
3
2
54
2
24
1
6
58
3
20
2
1
13
4
1
1
2
1
11
1
4
2
5
3
4
1
5
15
12
6
2
3
16
4
1
2
3
22
3
1
16
3
19
1
2
2
1
4
4
3
4
2
2
2
4
1
146
2
1
145
1
9
3
103
10
57
2
6
3
213
17
15
15
2
34
1
67
99
14
1
1
1
19
1
7
9
1
2
1
4
16
1
1
12
1
14
3
11
52
28
4
49
1
5
1
1
22
1
10
1
21
2
9
64
7
29
1
3
41
16
15
3
1
12
1
1
15
17
1
21
1
1
243
19
2
9
87
1
2
8
1
1
154
28
21
25
1
2
27
1
5
3
1
15
1
1
1
1
1
10
3
1
3
1
38
1
1
1
8
27
24
1
2
5
1
5
8
1
15
3
4
1206
2
13
137
4
1
1
8
9
22
93
6
7
7
1
1
16
1
1
24
3
76
7
32
125
5
6
18
25
1
18
15
27
22
8
16
1
16
8
1
3
1
1
4
54
1
8
152
80
1
1
18
24
23
3
1
5
1
8
14
18
1
1
8
52
2
19
1
18
1
13
2
15
12
1
12
12
1
18
2
2
3
19
1
2
1
1
2
6
1
1
9
19
6
12
2
1
77
2
9
1
17
1
2
1
1
34
36
3
6
6
1
1
14
7
11
5
3
8
2
3
143
2
17
5
15
3
14
28
69
16
4
6
17
1
1
1
28
35
14
15
9
37
7
2
71
32
13
1
14
2
2
113
1
44
10
1
9
21
1
17
15
1
4
1
1
5
16
1
47
1
1
2
2
44
1
16
1
19
347
1
12
36
1
401
3
1
46
16
1
1
3
15
30
17
1
56
1
5
16
1
15
1
1
1
1
1
1
13
2
13
3
9
6
1
108
1
1
5
5
1
3
12
1
1
1
1
151
1
3
39
1
4
1
14
4
10
2
13
16
2
95
5
3
2
1
5
1
95
1
9
15
1
31
3
1
2
190
23
1
8
1
1
15
1
4
42
36
3
2
16
22
2
15
4
3
5
23
13
21
1
3
3
2
1
14
1
1
1
1
11
2
3
2
1
25
1
2
3
8
15
2
5
13
16
2
38
1
6
9
26
32
6
3
1
4
1
4
1
2
22
47
9
5
1
1
37
3
5
1
80
1
1
3
16
9
1
3
17
8
8
4
2
6
7
201
20
4
22
5
3
4
23
23
1
1
4
14
21
10
1
2
9
11
2
16
10
2
1
2
1
13
1
4
2
1
2
1
1
4
29
1
1
289
5
2
2
5
2
1
2
11
2
1
13
97
11
17
1
15
1
2
1
3
1
2
1
7
16
7
1
16
16
1
1
26
3
8
16
8
13
10
2
2
38
3
169
1
20
13
2
4
4
3
2
1
1
16
7
9
15
2
1
6
16
1
1
1
2
1
24
53
1
16
2
1
2
373
11
53
3
1
16
4
39
4
1
2
1
37
17
5
9
1
1
1
2
15
940
10
3
1
17
22
16
4
6
21
41
2
2
6
31
1
16
1
6
4
15
1
2
1
171
2
12
1
1
1
17
1
10
1
46
16
1
16
1
4
2
16
1
2
12
1
1
2
2
14
1
3
34
2
2
11
2
1547
46
111
1
1
4
136
41
100
1
5
1
1
6
1
1
1
4
1
1
139
17
6
11
1
2
3
5
3
1
14
1
106
4
3
2
3
2
16
1
1
4
926
1
2
1
21
15
31
11
58
1
1
32
27
1
14
4
4
5
1
16
1
1
21
61
1
14
16
10
4
49
2
43
3
15
28
11
22
6
20
17
2
4
1
1
26
1
27
15
13
11
2
21
1
26
27
1
8
3
4
3
1
6
196
1
26
45
8
15
4
1
1
2
13
40
1
1
1
7
25
13
6
14
1
1
11
11
3
1
1
79
11
2
16
1
24
47
7
12
1
1
1
2
1
1
2
2
5
2
1
13
7
2
390
32
1
1
1
7
44
2
23
3
1
1
10
24
2
1
17
13
1
2
13
1
17
1
1
72
30
23
3
15
10
7
1
3
4
1
1
1
1
6
8
1
32
11
2
33
2
1
6
1
16
10
1
1
1
4
1
1
3
278
56
4
1
5
14
3
12
1
16
80
4
3
32
18
15
5
182
2
15
36
1
21
56
65
5
2
2
1
17
31
7
6
31
6
2
11
10
1
20
5
65
2
2
1849
1
10
61
4
24
16
1
12
1
4
15
30
1
7
17
131
1
5
15
3
2
13
1
35
1
15
3
2
5
1
2
66
17
1
2
1
3
2
8
16
1
94
2
1
1
1
18
7
1
1
6
13
1
2
15
2
9
1
198
31
12
37
1
2
4
1
12
34
1
1
2
1
9
2
1
74
48
2
1
15
2
1
12
29
1
1
1
13
5
1
1
98
16
4
30
2
12
1
16
23
1
15
2
1
1
1
2
2
1
2
3
3
1
4
2
32
214
25
1
6
3
1
7
10
36
8
2
41
2
1
15
1
20
14
1
3
5
1
15
1
1
1
1
2
2
4
8
105
1
154
4
15
5
7
1
2
1
83
1
1
4
1
1
3
101
12
1
1
1
1
3
1
1
1
45
37
67
20
7
8
15
120
3
16
14
5
1
1
37
9
2
6
1
1
1
1
18
1
13
426
1
43
1
1
1
9
1
32
2
1
1
1
1
3
5
1
1
4
1
4
1
32
14
3
18
29
13
1
150
307
1
18
138
8
3
11
9
82
2
12
1
47
13
11
3
1
1
14
1
1
9
15
1
489
8
1
68
3
1
22
123
1
11
3
1
2
1
11
15
23
52
12
1
1
13
1
2
19
30
12
7
242
3
3
1
6
1028
25
15
63
9
15
2
12
4
15
6
4
3
35
6
15
1
14
15
6
2
47
1
1
1
7
14
1
16
1
19
1
9
89
2
2
1
1
1
1042
38
16
16
6
18
3
16
6
1
15
23
2
3
9
1
2
147
2
9
6
39
31
16
2
12
1
18
1
11
84
1
1
35
14
11
43
1
1
15
1
29
35
1
4
29
1
1
12
11
11
16
6
1
39
31
1
12
5
17
1
2
2
28
24
17
1
1
60
4890
3
25
1
3
1
1
14
4
10
1
1
1
1
6
4
4
1
3
1
14
33
28
1
15
4
2
7
4
1
1
14
2
1
1122
14
1
15
31
2
21
51
1
2
24
17
3
67
1
2
1
68
1
3
5
8
6
41
15
29
1
5
1
16
12
4
3
5
13
1
19
1
3
3
16
30
1
4
16
4
1
3
9
15
17
4
21
13
6
32
4
3
7
79
1
1
1
1
7
15
13
2
18
16
2
1
1
1
22
2
1
2
30
30
1
2
16
2
286
1
3
8
2
6
1
4
2
1
9
92
1
7
16
2
30
1
32
10
11
28
10
1
3
134
3
1
8
4
2
2
1
1
1
4
13
16
111
2
3
127
36
2
90
7
1
4
10
5
4
10
4
12
2
5
271
1
1
3
7
17
12
44
1
1
2
11
1
2
1
10
51
5
3
9
27
3
1
2
1
1
1
1
267
1
14
1
1
1
1
3
1
1
1
1
31
1
2
10
14
2
11
45
1
2
16
7
3
1
61
2
9
1
15
16
413
1
2
2
1
1
2
115
5
16
12
1
25
1
223
2
3
12
29
2
11
1
1
3
3
3
1
1
6
2
18
5
7
85
3
11
1
18
1
1
1
1
1
4
3
24
62
2
2
12
18
1
7
2
1
12
57
7
1
15
43
13
41
14
4
333
9
2
47
7
1
1
18
1
1
20
8
28
11
15
2
15
2
4
7
1
2
1
7
1
12
19
1
14
2
37
1
5
1
174
5
44
1
4
89
62
3
2
6
45
2
1
5
1
62
2
8
1
1
1
1
2
1
22
2
91
1
5
1
1
1
162
4
50
13
198
4
19
17
37
43
2
1
234
68
15
328
1
17
85
2
2
3
6
30
2
1
2
15
1
12
44
1
1
2
1
18
7
1
235
6
1
32
3
1
48
1
17
1
1
1
2
19
25
11
3
1
1
5
17
2
7
48
16
10
2
1516
2
16
8
29
5
16
21
3
1
15
21
1
1
1
76
1
16
1
1
47
13
4
157
1
31
17
1
2
3
12
16
2
2
1
2
1
2
1
1
1
2
1
1
1
24
16
2
1
1
1
3
1
1
33
317
1
2
1
147
340
2
4
1
10
1
9
8
4
4
14
1
1
145
52
3
16
36
1
4
2
5
160
6
1
1
16
13
15
1
1
14
25
19
46
18
2
1
3
1
1
24
19
1
32
4
55
1
1
1
4
10
48
15
17
1
6
1
13
32
2
19
15
2
2
4
177
1
1
3
54
15
2
26
6
1
6
30
8
20
1
8
2
12
213
5
13
2
1
22
7
3
26
2
1
26
24
261
35
8
1
2
18
2
2
1
83
3
3
1
1
292
191
4
2
16
1
4
6
1
7
4
12
3
1
1
1
15
1
6
123
32
8
3
3
1
3
1
2
16
1
16
2
1
60
28
1
12
1
68
14
1
3
2
8
3
105
3
5
17
14
2
20
2
14
1
6
14
1
7
3
4
1
1
1
1
10
2
20
3
16
83
47
2
3
15
16
6
2
38
1
35
2
4
16
6
8
5
3
7
2
49
1
6
39
3
12
1
4
1
62
14
2
14
9
2
1
1
2
19
12
5
2
31
4
4
1
18
1
12
3
16
1
29
11
2
19
1
12
2
1
2
16
2
13
2
24
3
3
18
1
3
15
1
8
3
59
1
14
3
4
117
5
1
2
4
16
17
2
1
1
1
1
2
5
9
35
1
9
1
6
10
5
8
6
1
7
2
1
3
4
1
3
13
15
1
1
86
13
2
6
18
2
1
1
3
2
1
2
1
5
5
6
18
21
1
1
14
28
22
16
2
10
1
1
1
17
2
976
2
167
5
19
1
17
2
2
23
1
3
18
1
594
1
1
1
14
2
1
139
1
1
2
2
1
1
17
1
2
1
225
20
1
1
4
1
1
6
2
19
1
1
2
1
29
15
9
4
1
1
25
2
4
24
2
34
37
1
4
3
1
10
1
1
1
63
1
3
1
1
16
4
8
40
11
1
2
2
107
12
3
1
2
42
1
3
10
1
16
17
1
25
1
1
1
7
9
12
1
3
1
7
3
11
20
2
1
2
13
1
22
21
1
13
12
1
20
16
1
2
15
8
26
1
1
2
30
13
1
1
1
12
30
1
7
3
6
1
7
4
126
1
12
5
3
2
1
7
24
1
83
26
2
14
4
1
13
2
1
15
5
10
6
1
4
7
4
14
1
54
70
1
12
1
6
15
1
14
3
7
1
1
16
11
5
45
6
5
1
107
1
1
12
19
1
3
1
11
17
1
11
14
2
2
6
2
1
1
8
1
18
2
1
17
2
15
1
2
2
1
11
1
12
2
6
7
1
1
166
5
75
65
2
14
23
19
9
6
1
16
1
6
33
6
9
1
1
13
1
2
2
16
3
1
1
1
18
113
2
2
2
1
2
3
1
9
5
2
1
1
1
1
1
405
3
2
2
4
16
15
1
6
11
1
42
2
17
1
17
8
4
3
10
90
1
4
1
14
1
2
3
1
13
46
6
5
16
9
2
6
11
10
42
234
4
1
7
1
1
16
1
7
4
1
1
3
19
14
3
1
6
1
207
15
3
30
18
1
1
33
1
17
3
20
2036
2
2
2
1
2
4
20
28
9
1
14
1
1
2
406
64
1
256
14
1
16
1
5
8
13
3
16
411
6
33
22
1
2
1
312
1
1
32
2
6
10
1
2
29
2
19
38
1
13
1
2
3
174
1
36
15
15
2
13
1
158
7
1
1
22
2
4
1
2
2
1
1
1
20
29
72
2
1
1
1
1
1
10
1
11
1
1
1
1
41
8
4
1
6
9
3
1
10
2
13
16
63
14
1
1
1
2
32
3
12
1
25
3
1
32
1
14
1
1
16
1
1
1
2
25
3
33
4
24
1
1
1
34
17
1
4
9
33
11
131
1
1
17
4
3
2
5
1
50
1
2
85
9
5
4
1
1
1
1
1
3
2
13
2
85
1
12
2
16
14
1
14
4
8
1
4
1
16
13
2
13
1
2
18
6
10
13
1
10
6
92
2
5
17
11
1
112
13
1
2
1
1
3
1
30
2
3
1
14
3
1
1
73
1
11
13
10
1
200
10
38
21
1
1
20
1
4
81
3
3
17
5
1
27
30
26
1
17
3
4
15
3
26
27
1
2
2
32
26
3
3
15
1
86
30
6
5
11
14
15
2
16
8
16
1
5
16
7
10
2
1
1
6
32
3
8
5
9
33
9
3
64
1
2
1
8
44
5
1
15
8
17
1
1
1
33
41
2598
1
64
1
1
4
34
1
3
1
4
6
67
1
16
14
3
1
191
2
7
5
1
15
1
1
14
17
32
3
1
1
16
1
30
11
1
70
19
166
14
16
38
4
73
101
1
3
1
29
15
33
22
1
2
25
1
4
54
1
7
1
1
8
16
5
3
8
1
1
4
53
7
1
1
49
1
3
23
1
2
1
16
16
2
530
2
2
24
28
233
1
1
470
2
10
2
1
54
1
8
15
6
2
15
1
1
6
1
2
1
1
7
1
2
25
2
27
3
1
9
8
1
3
2
1
3
5
4
5
1
1
2
48
8
52
4
2
2
11
18
1
1
2
7
2
1
32
2
3
43
12
3
16
30
1
45
1
1
1
2
1
1
2
8
2
11
10
9
607
4
2
1
12
6
3
5
19
1
43
1
79
11
62
1
102
2
21
16
11
13
11
116
86
16
3
12
1
5
1
1
4
9
756
14
14
2
17
2
2
1172
90
5
4
23
1
18
125
25
47
1
37
17
2
5
15
28
1
23
1
1
52
4
1
1
6
1
15
1
1
1
16
82
2
6
1
2
15
1
1
13
1
38
1
3
12
4
18
7
41
3
1
1
2
23
1
2
2
1
3
1
3
14
1
72
1
24
1
25
6
9
10
16
11
175
1
64
15
2
1
18
1
120
2
5
1
1
2
70
11
1
1
10
10
2
567
2
1
4
6
2112
1
172
4
2
13
2
351
4
123
13
13
5
1
6
48
146
1
14
5
113
2
21
4
143
1
10
14
17
301
1
1
2
16
1
4
1
4
4
19
28
159
2
12
1894
4
1
2
2
18
1
46
21
4
4
20
16
247
14
3
1
4
2
28
5
5
2
3
4
15
10
19
2
5
34
1
19
1
13
1
8
16
25
12
4
29
30
7
14
1
10
1
10
7
6
3
16
2
1
1
1
30
1
55
2
2
1
5
1
8
1
1
2
3
6
18
6
2
1
2074
4
1
9
1
51
1
8
2
30
34
15
3
5
2
1
2
15
13
13
5
76
10
1
1
1
5
3
1
163
1
2
29
1
1
6
5
1
15
1
160
2
1
233
12
81
16
2
8
14
2
801
3
1
1
21
15
4
1
10
1
1
30
1
32
1
16
1
1
10
9
1
14
16
1
3
7
10
1
1
1
15
15
2
1
5
48
1
1
1
49
13
2
4
22
2
5
3
6
7
3
84
14
2
18
1
12
1
1
9
86
32
19
1
1
11
16
48
12
2
7
4
1
2
11
6
95
1
9
1
14
57
6
1
3
1
2
41
3
8
1
2
4
30
7
1
20
1
2
4
11
1
17
1
1
9
20
21
14
19
1
3
12
1
51
14
3
4
3
1
137
3
542
98
15
2
17
1
15
45
9
2
1
8
2
3
5
1
18
1
5
1
17
4
16
1
1
1
2
1
14
1
21
1
1
1
1
177
194
14
1
1
107
15
15
1
17
3
422
1
1
28
75
16
2
15
15
1
2
1
14
1
13
2
2
28
14
1
1
11
2
11
1
1
15
1
1
3
2
22
1
3
13
1
15
5
18
3
1
1
5
2
27
31
1
66
2
13
46
1
1
31
1
1
4
14
12
13
1
4
4
1
5
2
48
3
4
3
4
13
53
1
4
1
10
1
2
16
1
13
6
2
43
9
1
70
18
10
1
4
5
4
13
6
16
1004
14
1
43
61
3
5013
1
3
6
1
11
3
1
22
70
72
11
1
1
8
3
1
2
2
4
4
18
1
16
4
2
1
62
7
26
4
1
18
2
4
16
3
1
82
33
1
15
27
1
12
1
2
3
4
33
1
10
28
1
1
2
1
4
1
8
21
16
17
91
48
1
14
4
3
1
2
21
6
29
4
1
2
24
13
1
4
15
1
1
1
4
236
3
1
37
8
1
1
49
1
23
1
57
2
6
41
4
1
1
1
8
2
6
14
1
3
46
14
16
137
1
87
1
7
2
1
13
3
1
135
3
3
15
11
27
3
92
1
2
2
2
1
2
1
14
2
1
1
68
16
1
9
4
2
1
1
16
2
24
1
1
11
1
1
3
11
26
1
1
10
8
143
1
8
1
8
1
3
17
1
9
4
2
11
1
1
1
2
7
1
7
1
1
1
2
1
2
20
8
1
2
44
1
6
1
5
2
1
2
6
1
26
21
8
1
2
1
2
16
4
2
2
11
10
2
3
1
1
1
5
1
1
16
3
2
1
87
1
1
19
14
1
140
13
12
9
2
1
8
3
2
15
43
1
14
2
3098
16
52
5
25
1
2
3
22
14
18
5
27
3
1
1
30
1
15
3
15
23
153
37
5
1
1
2
