cluster,script_url_etld,fp_script
01a7421d-586f-4294-9d13-679b7d25b971,stardewvalleywiki.com,true
01b27a8c-222c-4c91-a7ab-15902c67c8e3,yotpo.com,true
01b27a8c-222c-4c91-a7ab-15902c67c8e3,megapteka.ru,true
01b27a8c-222c-4c91-a7ab-15902c67c8e3,osasuna.es,true
01b3cedd-1f39-4155-b47e-c0503f6c673e,latoken.com,true
01b5b59a-3e3e-4952-86e2-cabad6337188,radiocomercial.pt,true
01b5b59a-3e3e-4952-86e2-cabad6337188,kolkataff.in,true
01b5b59a-3e3e-4952-86e2-cabad6337188,loyno.edu,true
01b5b59a-3e3e-4952-86e2-cabad6337188,worldometers.info,true
01b81187-7e10-46e8-8854-6906615fce3b,ntv.co.jp,true
01c0f076-edb0-4bce-ac8b-a13da25eda4a,verizon.com,true
01c63057-ddb1-41ea-8df0-8431e8120575,theknot.com,true
01c993f6-b4ba-46aa-8864-01e50d79fd89,psu.edu,true
01ccbdc2-115e-4f91-83f7-8e39bb095772,berkeley.edu,true
01cf5ba8-d83f-486d-b4c4-8a4e485b9f39,toyota.com,true
01d30ff4-5e25-4dce-9b33-cb0567c12318,cisco.com,true
01d5a471-7f6d-4678-8b56-c12f8a9b3f16,cscglobal.com,true
01df46c2-fb0f-4436-b9ea-e178d58bb483,crisp.chat,true
01df6448-f0d0-4e2a-8298-8b452c969c8d,affirm.com,true
01fe8689-d2e4-4d6b-9b2e-c31de533e755,wikipedia.org,true
02025188-8b3f-43fb-92ab-43cbd84ed3dc,ruangguru.com,true
02077ab4-771b-41e2-a529-276cd48f1e94,faberlic.com,true
022c32a9-2b33-478f-ae45-8872f075fbd5,rs-online.com,true
022d2dd0-e3b1-45d5-a87d-fd603391ee10,dezeen.com,true
022e6f46-66b1-4b2d-8897-1b8f48a51f1d,pornhat.one,true
022e6f46-66b1-4b2d-8897-1b8f48a51f1d,pornhat.com,true
022e9c23-66c2-463a-91e3-1f3b86c05eb8,www.gov.pl,true
02358d2f-ae6c-4aad-87ff-15615014d24f,bangkokpost.com,true
0235ef83-5546-4d9d-bfd0-a44749af2359,bitget.com,true
0236bc73-c189-40e2-a9d3-b9e65aa00b90,jio.com,true
023d7297-9c60-4ae0-b833-7ad3bec8fea1,dhl.de,true
023f424f-e4a3-460e-8938-b4f2ee30c72f,diigo.com,true
024a222d-564b-4e25-b3f1-9e30ce59a391,leigod.com,true
024c2a00-1637-433a-a9a5-28118fe84595,strava.com,true
0252562e-b136-42fe-b0df-8c25fce0ce83,cardgames.io,true
026a34ca-36e0-4ff2-b8a1-738c2c41b4ab,visitsaudi.com,true
026be5c2-debc-47e7-9964-fdcd08a5d4e2,mayoclinic.org,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,faz.net,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,liberation.fr,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,newsnow.co.uk,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,sky.com,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,newsnow.com,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,golem.de,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,theguardian.com,true
026c0f50-6bb2-4326-b81b-fef3b7ff5cd8,rtl.de,true
02711739-bd40-4a64-a48f-786433ff19cd,ngs.ru,true
02712338-12bb-4a37-a12a-c5ba634d810b,softwareadvice.com,true
027a29e0-0768-44ea-bea3-59f89012cfd2,yahoo.co.jp,true
027e767b-4d4f-46f9-a5e8-45a471b46b6f,wp.pl,true
029c221e-c7cf-4dd8-b319-50f776be3b07,mlbshop.com,true
029c7007-6b88-40e6-808b-52254cbb39fe,nesine.com,true
02b6a17b-87b6-4a0c-88b5-9a76cb835e59,mcdonalds.com,true
02bacfbf-a89d-431d-b2d7-4b30f3057745,adweek.com,true
02c124a2-283b-4418-8c33-50c8bdfdc971,qatarairways.com,true
02c2eaa2-f315-456e-9815-a7d9025630fc,netmarble.com,true
02c2eaa2-f315-456e-9815-a7d9025630fc,uswitch.com,true
02c2eaa2-f315-456e-9815-a7d9025630fc,binance.tr,true
02c2eaa2-f315-456e-9815-a7d9025630fc,zoomgov.com,true
02c2eaa2-f315-456e-9815-a7d9025630fc,qq.com,true
02df4dcf-e288-4864-bdf1-aaab26a28818,warontherocks.com,true
02ec6deb-2520-402d-a522-c0a3b1d876aa,3movs.com,true
02ec6deb-2520-402d-a522-c0a3b1d876aa,taboodesi.net,true
02ec6deb-2520-402d-a522-c0a3b1d876aa,thisvid.com,true
02f0998f-4ca4-45c3-81df-f174751ddec6,mf.gov.pl,true
02f2066c-585c-4ede-8053-f4384995fada,codmon.com,true
02f4f087-d0d5-4441-acb1-a7ea862a37ab,elisa.fi,true
03053f0e-a2c0-43a2-9305-d0f38541d2cf,mmaglobal.com,true
031743ee-3458-4cd4-a501-82935615e9d9,gradle.com,true
03186827-3fbe-4ce9-9043-297de3149729,coldsteels.ru,true
0319f422-3235-482c-b358-a572099fc669,tradesmith.com,true
0329942d-7c5e-4f85-8ecf-9dda4e7043d1,wpastra.com,true
032fc0c6-7378-4e3a-81c7-9f12970f61aa,klix.ba,true
0330382a-debe-481f-bc9d-c73fb83bf6e4,10086.cn,true
03397ced-3fb3-4c0f-a1d6-eeed9bf17412,xfinity.com,true
033b9aab-a95e-409e-b8d1-069ff3c97eb6,delfi.lt,true
033b9aab-a95e-409e-b8d1-069ff3c97eb6,pensador.com,true
033b9aab-a95e-409e-b8d1-069ff3c97eb6,whatnot.com,true
033b9aab-a95e-409e-b8d1-069ff3c97eb6,translated.com,true
