sqlite_browser_id,sqlite_visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp,site_id,in_cookiejar,site_rank,hold_id,visit_id,browser_id,category
3396399569,3925791933489137,d8b11166-0cf1-4096-9f75-811003bb445c,444,added-or-changed,explicit,2025-11-12 13:55:34,1,0,0,.google.com,1,SNID,/verify,AIs2CCqAJtvZ6lyyNywU4McF3r173PO5KL2vxC8kDb5Gok-5ju6Uz9XjVFmVhALUHe_EnVzqYJtFL6D4m1Dghi7TShfBVhykVQ,lax,,firefox-default,2025-05-13 13:56:00.214000,1,1.0,1,,1_SNID,windows,
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,834,added-or-changed,explicit,2026-06-17 13:56:18,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,deleted,no_restriction,,firefox-default,2025-05-13 13:56:18.799000,1,,2,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,835,deleted,overwrite,2026-06-17 13:56:18,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g0$t1747137378$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:18.800000,1,,2,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,836,added-or-changed,explicit,2026-06-17 13:56:18,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g0$t1747137378$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:18.801000,1,,2,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,837,added-or-changed,explicit,2026-06-17 13:56:18,0,0,0,.policies.google.com,0,_ga,/,GA1.1.1351695229.1747137379,no_restriction,,firefox-default,2025-05-13 13:56:18.802000,1,,2,,1__ga,windows,
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,938,added-or-changed,explicit,2025-06-12 13:56:18,0,1,0,policies.google.com,1,OTZ,/,8080556_56_56__56_,no_restriction,,firefox-default,2025-05-13 13:56:18.959000,1,1.0,2,,1_OTZ,windows,
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,1651,deleted,overwrite,2026-06-17 13:56:25,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,deleted,no_restriction,,firefox-default,2025-05-13 13:56:25.208000,1,,2,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,1652,added-or-changed,explicit,2026-06-17 13:56:25,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,deleted,no_restriction,,firefox-default,2025-05-13 13:56:25.209000,1,,2,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,1653,deleted,overwrite,2026-06-17 13:56:25,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g0$t1747137385$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:25.209000,1,,2,,1__ga_CVQP9NPQGY,windows,Performance
3396399569,7103361313043288,d8b11166-0cf1-4096-9f75-811003bb445c,1654,added-or-changed,explicit,2026-06-17 13:56:25,0,0,0,.policies.google.com,0,_ga_CVQP9NPQGY,/,GS2.1.s1747137378$o1$g0$t1747137385$j0$l0$h0,no_restriction,,firefox-default,2025-05-13 13:56:25.209000,1,,2,,1__ga_CVQP9NPQGY,windows,Performance
